BATCHID,DESTINATION,SHIPDATE,ARRIVALDATE,LEADTIME
20193,HSUSA Aurora,2021-01-24T12:00:00Z,,Not available
20173,Walls Grand,2020-12-29T06:30:00Z,,Not available
20293,Care Houston,2020-12-24T06:00:00Z,,Not available
20469,HSUSA Aurora,2021-01-01T12:00:00Z,2021-01-04T13:30:00Z,73
20149,Walls Grand,2020-12-26T03:00:00Z,2020-12-29T04:00:00Z,73
20177,Pharma Akron,2021-01-30T04:30:00Z,2021-02-02T05:30:00Z,73
20181,First Toledo,2021-01-31T16:30:00Z,2021-02-03T17:30:00Z,73
20249,First Toledo,2020-12-31T08:00:00Z,2021-01-03T11:30:00Z,75
20513,CXS Madison,2021-01-07T09:30:00Z,2021-01-10T12:00:00Z,75
20321,Pharma Akron,2020-12-29T05:00:00Z,2021-01-01T08:30:00Z,75
20153,Walls Grand,2020-12-22T00:30:00Z,2020-12-25T03:00:00Z,75
20105,HealthCo Fort Worth,2020-12-22T08:30:00Z,2020-12-25T12:30:00Z,76
20529,CXS Madison,2021-01-18T01:00:00Z,2021-01-21T05:30:00Z,76
20121,First Toledo,2021-01-13T09:00:00Z,2021-01-16T14:30:00Z,77
20109,HSUSA Aurora,2021-01-04T03:30:00Z,2021-01-07T11:30:00Z,80
20357,BestOf Lincoln,2020-12-24T10:30:00Z,2020-12-27T19:30:00Z,81
20401,First Toledo,2021-01-20T07:00:00Z,2021-01-23T18:30:00Z,83
20157,Walls Grand,2020-12-21T04:30:00Z,2020-12-24T16:00:00Z,84
20485,HealthCo Fort Worth,2021-01-14T20:30:00Z,2021-01-18T20:30:00Z,96
20185,Nurses Cincinnati,2021-01-14T07:00:00Z,2021-01-18T19:00:00Z,108
20125,Pharma Akron,2021-01-08T23:00:00Z,2021-01-13T11:00:00Z,108
20281,Nurses Cincinnati,2021-01-18T08:30:00Z,2021-01-25T11:00:00Z,171
